iter	Passed	Remaining
413	3213	4548
414	3219	4538
415	3225	4527
416	3231	4518
417	3237	4508
418	3243	4497
419	3249	4487
420	3255	4476
421	3260	4466
422	3266	4456
423	3272	4445
424	3278	4435
425	3285	4426
426	3291	4416
427	3298	4407
428	3303	4397
429	3310	4387
430	3316	4378
431	3321	4367
432	3328	4357
433	3333	4348
434	3339	4337
435	3345	4328
436	3352	4318
437	3357	4308
438	3364	4299
439	3370	4289
440	3377	4281
441	3383	4271
442	3389	4261
443	3395	4251
444	3401	4241
445	3406	4231
446	3413	4222
447	3418	4212
448	3424	4202
449	3431	4193
450	3436	4183
451	3443	4174
452	3449	4165
453	3455	4155
454	3462	4146
455	3467	4137
456	3474	4128
457	3481	4119
458	3486	4109
459	3493	4100
460	3498	4090
461	3504	4081
462	3511	4072
463	3516	4062
464	3523	4053
465	3529	4044
466	3534	4034
467	3541	4025
468	3547	4016
469	3553	4007
470	3560	3998
471	3565	3988
472	3571	3979
473	3578	3971
474	3585	3962
475	3591	3954
476	3597	3944
477	3603	3934
478	3609	3925
479	3615	3916
480	3622	3908
481	3629	3900
482	3634	3890
483	3641	3881
484	3646	3872
485	3652	3863
486	3659	3854
487	3664	3845
488	3672	3837
489	3677	3827
490	3683	3818
491	3689	3809
492	3695	3800
493	3702	3792
494	3708	3783
495	3713	3773
496	3720	3765
497	3726	3756
498	3731	3746
499	3738	3738
500	3743	3728
501	3749	3719
502	3755	3710
503	3761	3701
504	3767	3692
505	3773	3683
506	3779	3674
507	3785	3666
508	3790	3656
509	3796	3647
510	3802	3639
511	3808	3630
512	3814	3621
513	3821	3613
514	3826	3603
515	3833	3595
516	3838	3586
517	3844	3577
518	3851	3569
519	3857	3560
520	3862	3551
521	3869	3543
522	3874	3534
523	3881	3525
524	3887	3517
525	3892	3508
526	3899	3500
527	3905	3491
528	3912	3483
529	3919	3475
530	3925	3467
531	3932	3459
532	3939	3451
533	3945	3443
534	3953	3436
535	3959	3427
536	3966	3420
537	3972	3411
538	3979	3403
539	3985	3395
540	3992	3387
541	3999	3379
542	4005	3371
543	4012	3363
544	4019	3355
545	4025	3347
546	4032	3339
547	4039	3331
548	4046	3324
549	4054	3317
550	4061	3309
551	4069	3302
552	4077	3295
553	4085	3288
554	4093	3282
555	4101	3275
556	4110	3268
557	4118	3262
558	4126	3255
559	4134	3248
560	4143	3242
561	4151	3235
562	4159	3228
563	4168	3222
564	4177	3216
565	4187	3210
566	4195	3204
567	4205	3198
568	4215	3193
569	4227	3188
570	4238	3184
571	4248	3178
572	4260	3175
573	4272	3170
574	4283	3166
575	4295	3162
576	4307	3157
577	4318	3152
578	4330	3148
579	4341	3144
580	4353	3139
581	4363	3133
582	4376	3130
583	4387	3125
584	4397	3119
585	4408	3114
586	4419	3109
587	4430	3104
588	4440	3098
589	4452	3093
590	4463	3088
591	4473	3083
592	4485	3078
593	4496	3073
594	4506	3067
595	4516	3061
596	4528	3056
597	4539	3051
598	4552	3047
599	4563	3042
600	4574	3037
601	4585	3031
602	4596	3026
603	4606	3020
604	4618	3015
605	4629	3009
606	4639	3004
607	4650	2998
608	4662	2993
609	4671	2986
610	4682	2981
611	4693	2975
612	4704	2969
613	4714	2963
614	4723	2957
615	4733	2950
616	4743	2944
617	4752	2937
618	4762	2931
619	4772	2925
620	4782	2918
621	4791	2911
622	4800	2905
623	4810	2898
624	4822	2893
625	4831	2886
626	4842	2880
627	4851	2874
628	4862	2868
629	4873	2862
630	4884	2856
631	4895	2850
632	4906	2844
633	4917	2838
634	4927	2832
635	4940	2827
636	4951	2821
637	4962	2815
638	4974	2810
639	4985	2804
640	4997	2798
641	5007	2792
642	5019	2786
643	5029	2780
644	5040	2774
645	5052	2768
646	5063	2762
647	5074	2756
648	5084	2750
649	5095	2743
650	5105	2737
651	5116	2730
652	5125	2723
653	5136	2717
654	5146	2710
655	5156	2703
656	5167	2697
657	5176	2690
658	5186	2683
659	5197	2677
660	5207	2670
661	5217	2664
662	5228	2657
663	5238	2650
664	5250	2644
665	5261	2638
666	5272	2632
667	5282	2625
668	5291	2618
669	5301	2611
670	5312	2604
671	5321	2597
672	5331	2590
673	5339	2582
674	5349	2575
675	5359	2568
676	5368	2561
677	5377	2553
678	5385	2546
679	5394	2538
680	5402	2530
681	5412	2523
682	5421	2516
683	5430	2508
684	5437	2500
685	5446	2493
686	5455	2485
687	5464	2477
688	5472	2470
689	5480	2462
690	5489	2454
691	5497	2446
692	5505	2439
693	5514	2431
694	5523	2424
695	5531	2416
696	5540	2408
697	5548	2400
698	5558	2393
699	5566	2385
700	5575	2378
701	5583	2370
702	5593	2363
703	5603	2356
704	5612	2348
705	5620	2340
706	5628	2332
707	5637	2324
708	5645	2317
709	5654	2309
710	5662	2301
711	5671	2294
712	5679	2286
713	5688	2278
714	5696	2270
715	5705	2263
716	5713	2255
717	5721	2247
718	5729	2239
719	5738	2231
720	5746	2223
721	5755	2216
722	5763	2208
723	5772	2200
724	5780	2192
725	5788	2184
726	5797	2177
727	5805	2169
728	5814	2161
729	5823	2153
730	5833	2146
731	5841	2138
732	5850	2131
733	5858	2123
734	5868	2115
735	5878	2108
736	5887	2100
737	5898	2093
738	5906	2086
739	5916	2078
740	5926	2071
741	5937	2064
742	5948	2057
743	5960	2050
744	5970	2043
745	5983	2037
746	5994	2030
747	6005	2023
748	6017	2016
749	6029	2009
750	6040	2002
751	6050	1995
752	6061	1988
753	6072	1981
754	6084	1974
755	6097	1967
756	6109	1961
757	6120	1953
758	6132	1947
759	6144	1940
760	6155	1933
761	6167	1926
762	6180	1919
763	6193	1913
764	6204	1906
765	6216	1899
766	6228	1892
767	6240	1885
768	6251	1877
769	6263	1870
770	6275	1864
771	6287	1856
772	6299	1849
773	6311	1842
774	6324	1836
775	6334	1828
776	6346	1821
777	6358	1814
778	6371	1807
779	6382	1800
780	6395	1793
781	6409	1786
782	6421	1779
783	6433	1772
784	6445	1765
785	6457	1758
786	6470	1751
787	6483	1744
788	6493	1736
789	6503	1728
790	6513	1721
791	6524	1713
792	6534	1705
793	6543	1697
794	6553	1689
795	6562	1681
796	6571	1673
797	6583	1666
798	6593	1658
799	6604	1651
800	6614	1643
801	6623	1635
802	6634	1627
803	6642	1619
804	6652	1611
805	6661	1603
806	6670	1595
807	6679	1587
808	6687	1578
809	6696	1570
810	6704	1562
811	6712	1554
812	6720	1545
813	6729	1537
814	6737	1529
815	6745	1521
816	6753	1512
817	6763	1504
818	6771	1496
819	6781	1488
820	6790	1480
821	6800	1472
822	6809	1464
823	6817	1456
824	6827	1448
825	6835	1439
826	6843	1431
827	6851	1423
828	6861	1415
829	6869	1407
830	6878	1398
831	6886	1390
832	6895	1382
833	6903	1374
834	6912	1366
835	6922	1357
836	6931	1349
837	6939	1341
838	6947	1333
839	6955	1324
840	6963	1316
841	6973	1308
842	6981	1300
843	6989	1291
844	6997	1283
845	7005	1275
846	7013	1266
847	7021	1258
848	7029	1250
849	7037	1241
850	7044	1233
851	7053	1225
852	7061	1216
853	7069	1208
854	7077	1200
855	7086	1192
856	7094	1183
857	7102	1175
858	7110	1167
859	7118	1158
860	7126	1150
861	7135	1142
862	7143	1133
